judge,scope,mae,rmse,within1,icc,rho,wkappa,within_rater_rho
ctx20,overall,0.007081463963878845,0.008938426396371586,0.003068652793287417,0.005621080272716656,0.005892614497080221,0.005621127733757223,0.004015406471427578
ctx20,sporty,0.00876984155402278,0.011944546833878541,0.0026358227643596644,0.0064661049127628135,0.006287648869667488,0.006466348439952156,0.005294142316972341
ctx20,luxurious,0.005452202778740014,0.00824169756950758,0.003386455041580231,0.005719526919374529,0.005920179600280927,0.00571970559517856,0.003697547182502704
ctx20,modern,0.0010725010725010364,0.004147306355015121,0.0005290522160356086,0.006435756634772447,0.0055630431058239045,0.006435912775563331,0.006403666607954809
ctx20,rugged,0.005582159450739228,0.005643896010355076,0.0017914299751705378,0.00371554516937075,0.00341930960409131,0.003715770164780897,0.001179347717764492
ctx20,preference,0.015215536088562423,0.015784122558125266,0.007295372720593047,0.010772867608966915,0.010593054119838128,0.010773131275498704,0.01033964396150142
pop_mean,overall,0.000905756070319336,0.0009396091747752068,0.0005385336781824797,0.0003314175838612129,0.0010838921845322418,0.00034197630423566435,0.0016514146394961424
pop_mean,sporty,0.00870817777491718,0.008020318572547626,0.004682708849373663,,,,
pop_mean,luxurious,0.0018460105019409967,0.003075820736824159,0.0011467907144534102,,,,
pop_mean,modern,0.002493479652591349,0.0038204140322701196,0.004368385211157534,,,,
pop_mean,rugged,0.009103353236212846,0.008709382503418177,0.005899080890128226,,,,
pop_mean,preference,0.0018091719888285317,0.0028233559471332564,0.001520532698279463,,,,
car_mean,overall,0.003254431641188869,0.004270720518195198,0.0019331614900785954,0.004060913880077819,0.004989307866241682,0.0038397430157184552,0.0028297833785909244
car_mean,sporty,0.004720130725385577,0.00771858071119224,0.002460527214009671,0.010281735568429812,0.012540646874817105,0.011179494961108042,0.00944374699957629
car_mean,luxurious,0.004168432372060461,0.0073260123925362915,0.00038669576098925083,0.006509164803064385,0.008043361226148661,0.0085781323639167,0.008566900124960882
car_mean,modern,0.00482145044787409,0.007811628353003147,0.004521072266915023,0.013380901091890916,0.013743300427731914,0.01147120872889042,0.002848086862553883
car_mean,rugged,0.0028538703529673902,0.002609476877409736,0.002091606245718615,0.006529615207125576,0.0072501716195535835,0.007725057961532739,0.003897558775122617
car_mean,preference,0.003130900778712677,0.004011924067076522,0.004418565581432997,0.00225892359060329,0.0024423469303115784,0.004168310207578902,0.00604268611061874
b_persona,overall,0.001957170555069878,0.0030303829399405614,0.0012206009913339328,0.0018063777283526892,0.0013480482337965374,0.0018063866027868917,0.002174736742911973
b_persona,sporty,0.005734720174801573,0.009804282713781252,0.00026306055847719615,0.006169608428093812,0.006445925995148946,0.0061697377365763535,0.001502839167806464
b_persona,luxurious,0.005103374834456483,0.001973377749715084,0.0008944058988222864,0.00024816886131117413,0.000815114624480697,0.00024817328806459043,0.002104955470922445
b_persona,modern,0.00247276924968511,2.1567514468213658e-05,0.002051872356121651,0.003442209758501537,0.004106019147462401,0.0034422531085714055,0.0026099005125824895
b_persona,rugged,0.00184142390934002,0.0026753372219839766,0.0010522422339085099,0.0007133165014226639,0.0009055406476366065,0.0007133406955613949,0.0035605995017892493
b_persona,preference,0.008523162094659286,0.008762073618018708,0.005734720174801652,0.0034011919380368466,0.0031993406929256697,0.0034012260173829816,0.0017014346905310257
b_nocontext,overall,0.0005282912751416342,0.0028295427731673175,0.0004209845712840706,0.0007628854460552462,0.001372018608535406,0.0007628837980371672,0.0004506596614470963
b_nocontext,sporty,0.0013939727674997264,0.004928201555948936,0.0016113398681329922,0.0002558076459826587,0.0019910540268388214,0.0002558031302293635,0.0036105208200983333
b_nocontext,luxurious,0.0015683940231907441,0.004336487463141526,0.0012293684257335534,0.004011913978416897,0.004112869351408951,0.004011819782233117,0.00606493268499914
b_nocontext,modern,0.003655942415077895,0.0012399778034149517,0.0023844375534169742,0.0057320123905796735,0.008067608909864969,0.005731836729216118,0.009225609784335275
b_nocontext,rugged,0.0014350670775286165,0.0009614566095285951,0.0021167250291024113,0.0035764620058564545,0.003930969433001281,0.0035764683215925015,0.0037561875877143483
b_nocontext,preference,0.003499397623900157,0.005168277031506653,0.002097017839675413,0.0013769976871499034,0.002344227191829141,0.0013769316272424382,0.0023369481883100045
